wellplan,pos_x,abs_pos_x,pos_y,inclination,sideforce,terminal,reward,episode,iteration
16.77255,-6.63797,10.13457,0,3.16216,0, False,0,1,0
16.77532,-9.21117,7.56416,99.9525,-0.21268,-0.0543, False,0.57541,1,1
16.79462,-7.61712,9.1775,199.93692,-1.63484,-0.02156, False,0.62526,1,2
16.8288,-4.67941,12.14939,299.89272,-1.77105,0, False,0.74118,1,3
16.8763,-2.09253,14.78376,399.85767,-1.24858,0.01104, False,0.9519,1,4
16.93566,-0.4121,16.52355,499.84221,-0.74566,0.01071, False,1,1,5
17.00545,0.44263,17.44809,599.8377,-0.31421,0.00951, False,1,1,6
17.08434,0.89184,17.97617,699.83631,-0.29096,0.00267, False,1,1,7
17.17104,0.87972,18.05076,799.83597,0.20502,0.01059, False,1,1,8
17.26434,0.46921,17.73355,899.83546,0.15852,0.0015, False,1,1,9
17.3631,-0.03663,17.32647,999.83461,0.30782,0.00478, False,1,1,10
17.46624,-0.5584,16.90784,1099.83371,0.17203,0, False,1.3,1,11
17.57275,-0.69228,16.88048,1199.83358,-0.14037,-0.00296, False,1,1,12
17.68168,-0.82734,16.85434,1299.83345,0.17003,0.00748, False,1,1,13
17.79212,-0.51112,17.28099,1399.83167,-0.65815,-0.0116, False,1,1,14
17.90324,0.51408,18.41732,1499.82522,-0.64403,0.00252, False,1,1,15
18.01428,1.0765,19.09078,1599.82261,-0.1282,0.01092, False,1,1,16
18.12451,0.7458,18.87031,1699.82204,0.38035,0.0108, False,1,1,17
18.23326,0.42817,18.66143,1799.82148,-0.14049,-0.00645, False,1,1,18
18.33993,0.49493,18.83486,1899.82132,-0.05832,0.00365, False,1,1,19
18.44395,0.61138,19.05532,1999.82105,-0.19419,0, False,1.3,1,20
18.54481,0.50187,19.04668,2099.82085,0.20371,0.00895, False,1,1,21
18.64206,0.12462,18.76668,2199.82045,0.11723,0.00083, False,1,1,22
18.73528,-0.05456,18.68073,2299.82039,-0.0186,0, False,1.3,1,23
18.82412,-0.2668,18.55732,2399.82027,0.15985,0.00527, False,1,1,24
18.90824,-0.52085,18.38739,2499.82011,0.035,0.00018, False,1,1,25
18.98737,-0.5424,18.44497,2599.82007,-0.10085,0, False,1.3,1,26
19.06128,-0.50169,18.55959,2699.81999,-0.03056,0.00346, False,1,1,27
19.12978,-0.39817,18.73161,2799.81982,-0.16642,0, False,1.3,1,28
19.19271,-0.48025,18.71246,2899.81966,0.18803,0.00822, False,1,1,29
19.24996,-0.74703,18.50293,2999.81942,0.05221,0, False,1.3,1,30
19.30145,-0.74997,18.55149,3099.81938,-0.1077,-0.0004, False,1,1,31
19.34714,-0.30959,19.03755,3199.81805,-0.44896,-0.00344, False,1,1,32
19.38701,0.55287,19.93988,3299.81395,-0.58492,0, False,1.3,1,33
19.4211,1.3829,20.804,3399.81018,-0.40547,0.00529, False,1,1,34
19.44946,1.32259,20.77205,3499.80926,0.44127,0.01647, False,1,1,35
19.47217,0.24161,19.71378,3599.80352,0.77114,0.0078, False,1,1,36
19.48935,-0.69756,18.79179,3699.79897,0.28587,-0.00586, False,1,1,37
19.50114,-1.08966,18.41148,3799.79823,0.15007,0, False,1.3,1,38
19.5077,-1.23951,18.26819,3899.7981,0.01425,0, False,1.3,1,39
19.50922,-1.01621,18.49301,3999.79775,-0.2716,-0.00251, False,1,1,40
19.50593,-0.3873,19.11863,4099.79575,-0.44515,-0.00063, False,1,1,41
19.49805,0.39997,19.89802,4199.79271,-0.44796,0.00223, False,1,1,42
19.48584,1.12675,20.61259,4299.79015,-0.37096,0.00357, False,1,1,43
19.46958,1.75063,21.2202,4399.7883,-0.32536,0.00304, False,1,1,44
19.44955,2.4197,21.86925,4499.78619,-0.41831,0.00072, False,0.89757,1,45
19.42606,2.89767,22.32373,4599.78503,-0.1028,0.00757, False,0.85019,1,46
19.39944,2.77539,22.17483,4699.78474,0.27307,0.00858, False,0.86077,1,47
19.37002,2.30129,21.67131,4799.78347,0.3039,0.00279, False,0.91321,1,48
19.33815,1.80955,21.1477,4899.7821,0.29613,0.00215, False,1,1,49
19.30418,1.58879,20.89298,4999.78166,-0.00395,-0.00275, False,1,1,50
19.26849,1.31001,20.5785,5099.78099,0.36396,0.00844, False,1,1,51
19.23144,0.86511,20.09655,5199.77979,0.18847,-0.00067, False,1,1,52
19.19342,0.88138,20.0748,5299.77963,-0.1632,-0.00362, False,1,1,53
