wellplan,pos_x,abs_pos_x,pos_y,inclination,sideforce,terminal,reward,episode,iteration
14.033,-9.09219,4.94081,0,-2.67805,0,  True,0,30,0
14.30074,-4.9389,9.36184,99.90212,-2.39004,0.00709, False,0.72894,30,1
14.5497,-1.86422,12.68548,199.84568,-1.42032,0.01852, False,1,30,2
14.78062,-0.18408,14.59654,299.82688,-0.77041,0.01316, False,1,30,3
14.99417,0.53082,15.52499,399.82228,-0.29403,0.01026, False,1,30,4
15.19107,0.87542,16.06648,499.82081,-0.32645,0.00173, False,1,30,5
15.37202,1.35349,16.72551,599.81863,-0.42864,0.00056, False,1,30,6
15.53773,1.76511,17.30284,699.81691,-0.23313,0.00555, False,1,30,7
15.68889,1.95682,17.64572,799.81632,-0.15986,0.0035, False,1,30,8
15.82618,2.11735,17.94353,899.81587,-0.18139,0.00191, False,0.94584,30,9
15.95026,2.04209,17.99236,999.81574,0.12512,0.00741, False,0.96756,30,10
16.06177,1.41425,17.47602,1099.81426,0.46621,0.00799, False,1,30,11
16.16135,0.6196,16.78095,1199.81182,0.33043,0, False,1.3,30,12
16.24961,0.07322,16.32283,1299.81075,0.19468,0, False,1.3,30,13
16.32716,-0.2115,16.11566,1399.81051,0.04289,-0.00027, False,1,30,14
16.39458,-0.16198,16.2326,1499.81038,-0.17666,-0.00141, False,1,30,15
16.45245,0.23415,16.6866,1599.80931,-0.34341,-0.00052, False,1,30,16
16.50133,0.36196,16.86329,1699.80886,0.14044,0.01038, False,1,30,17
16.54176,0.06458,16.60633,1799.80853,0.15399,0.0025, False,1,30,18
16.57427,0.08957,16.66383,1899.80833,-0.21949,-0.00399, False,1,30,19
16.59937,0.63738,17.23675,1999.80663,-0.4368,-0.00137, False,1,30,20
16.61758,1.33698,17.95456,2099.80405,-0.38581,0.00313, False,1,30,21
16.62937,1.62912,18.25849,2199.80336,0.0371,0.00936, False,1,30,22
16.63521,1.67706,18.31227,2299.80333,-0.0986,0, False,1.3,30,23
16.63557,1.96731,18.60288,2399.80288,-0.23427,0, False,1.3,30,24
16.63088,2.1071,18.73797,2499.80266,0.07914,0.00753, False,0.94826,30,25
16.62157,2.09682,18.71839,2599.80264,-0.05656,0, False,0.9508,30,26
16.60806,2.16508,18.77314,2699.80262,-0.00622,0.00312, False,0.93576,30,27
16.59074,2.11639,18.70713,2799.80259,0.08177,0.00375, False,0.94606,30,28
16.57,1.72761,18.29761,2899.80163,0.38719,0.00739, False,1,30,29
16.54621,1.31559,17.8618,2999.80059,0.11249,-0.00233, False,1,30,30
16.51972,1.03148,17.5512,3099.80008,0.24329,0.00447, False,1,30,31
16.49088,0.75427,17.24515,3199.79959,0.10756,0, False,1.3,30,32
16.46001,0.81032,17.27033,3299.79951,-0.13617,-0.00181, False,1,30,33
16.42742,0.63646,17.06388,3399.79897,0.37222,0.0108, False,1,30,34
16.3934,-0.07038,16.32302,3499.79621,0.47664,0.00403, False,1,30,35
16.35825,-0.72314,15.63511,3599.79381,0.31181,-0.00049, False,1,30,36
16.32223,-1.11274,15.20949,3699.79288,0.17606,0, False,1.3,30,37
16.28558,-1.15896,15.12663,3799.79277,-0.08085,-0.00203, False,1,30,38
16.24856,-0.8623,15.38626,3899.79241,-0.21653,0, False,1.3,30,39
16.21138,-0.73198,15.4794,3999.79223,0.10946,0.00774, False,1,30,40
16.17426,-0.45868,15.71558,4099.79164,-0.3796,-0.00592, False,1,30,41
16.13739,-0.32174,15.81565,4199.79107,0.26427,0.01307, False,1,30,42
16.10094,-0.62795,15.473,4299.79046,0.12853,0, False,1.3,30,43
16.0651,-0.25617,15.80892,4399.78937,-0.51281,-0.00848, False,1,30,44
16.03,0.41523,16.44523,4499.78724,-0.21665,0.00724, False,1,30,45
15.99578,1.11869,17.11447,4599.78486,-0.5499,-0.00331, False,1,30,46
15.96258,1.87519,17.83776,4699.78215,-0.27922,0.00681, False,1,30,47
15.93049,2.32908,18.25956,4799.78125,-0.20421,0.00353, False,0.9093,30,48
15.8996,2.53119,18.43079,4899.78105,0.00778,0.00583, False,0.88476,30,49
15.87001,2.17869,18.0487,4999.78009,0.42963,0.00935, False,0.93316,30,50
