wellplan,pos_x,abs_pos_x,pos_y,inclination,sideforce,terminal,reward,episode,iteration
18.20441,-0.75041,17.454,0,-1.03044,0,  True,0,60,0
18.25386,0.79,19.04386,99.98729,-0.79173,0.00627, False,1,60,1
18.30525,1.85652,20.16177,199.98092,-0.48962,0.00733, False,1,60,2
18.35733,2.10801,20.46534,299.97996,0.14112,0.01284, False,0.94804,60,3
18.40896,1.72655,20.1355,399.9794,0.23675,0.00387, False,1,60,4
18.45909,1.15062,19.60971,499.978,0.36564,0.00443, False,1,60,5
18.50677,0.58309,19.08986,599.97662,0.23021,0, False,1.3,60,6
18.55112,0.25525,18.80638,699.9762,0.09478,0, False,1.3,60,7
18.59136,0.16788,18.75924,799.97617,-0.04063,0, False,1.3,60,8
18.62677,0.37151,18.99829,899.97583,-0.23309,-0.00096, False,1,60,9
18.65674,0.52579,19.18253,999.97558,0.02171,0.00654, False,1,60,10
18.68071,0.64019,19.3209,1099.97543,-0.18006,-0.00111, False,1,60,11
18.6982,0.70733,19.40553,1199.97531,0.08281,0.00668, False,1,60,12
18.70881,0.67048,19.37929,1299.97528,-0.0526,0, False,1.3,60,13
18.71221,0.81146,19.52367,1399.97517,-0.11279,0.00126, False,1,60,14
18.70814,0.66932,19.37746,1499.97487,0.27994,0.00885, False,1,60,15
18.69638,0.63059,19.32697,1599.97454,-0.22158,-0.00614, False,1,60,16
18.67681,0.86145,19.53826,1699.97426,-0.02074,0.00564, False,1,60,17
18.64933,1.0434,19.69273,1799.97412,-0.15614,0, False,1.3,60,18
18.61393,1.46959,20.08352,1899.97334,-0.29154,0, False,1.3,60,19
18.57065,1.51948,20.09013,1999.97292,0.28338,0.01191, False,1,60,20
18.51955,0.99703,19.51659,2099.97126,0.37376,0.00378, False,1,60,21
18.46079,0.52177,18.98257,2199.96981,0.23833,0, False,1.3,60,22
18.39454,0.28477,18.67931,2299.96933,0.10931,0.00011, False,1,60,23
18.32103,-0.00441,18.31662,2399.96862,0.30611,0.00557, False,1,60,24
18.24053,-0.33987,17.90066,2499.96774,0.17068,0, False,1.3,60,25
18.15335,-0.43228,17.72107,2599.96755,0.03526,0, False,1.3,60,26
18.05983,-0.14731,17.91253,2699.96726,-0.25436,-0.00258, False,1,60,27
17.96037,0.51437,18.47474,2799.96566,-0.38975,0, False,1.3,60,28
17.85537,1.27338,19.12876,2899.96352,-0.35973,0.00277, False,1,60,29
17.74529,1.45901,19.2043,2999.96298,0.27253,0.01287, False,1,60,30
17.63059,1.37931,19.0099,3099.96266,-0.04944,-0.00313, False,1,60,31
17.51178,1.70269,19.21447,3199.96243,-0.18484,0, False,1.3,60,32
17.38938,1.95898,19.34837,3299.96228,0.03119,0.00589, False,1,60,33
17.26394,2.14828,19.41222,3399.96224,-0.10422,0, False,0.93912,60,34
17.13601,2.54827,19.68428,3499.96185,-0.20744,0.00054, False,0.88292,60,35
17.00617,2.99903,20.0052,3599.96133,-0.16035,0.00306, False,0.84196,60,36
16.87501,3.14798,20.023,3699.96122,0.13966,0.0073, False,0.83059,60,37
16.74314,2.99692,19.74006,3799.96082,0.18452,0.00302, False,0.84213,60,38
16.61116,2.85423,19.46539,3899.96043,0.13029,0.00136, False,0.85386,60,39
16.47969,2.85907,19.33876,3999.96034,0.01493,0.00034, False,0.85345,60,40
16.34935,2.49054,18.83989,4099.95872,0.55619,0.01134, False,0.88926,60,41
16.22076,1.90069,18.12145,4199.95603,0.26739,-0.00257, False,1,60,42
16.09453,1.4286,17.52313,4299.95422,0.41809,0.0048, False,1,60,43
15.97128,0.94047,16.91175,4399.95232,0.28265,0, False,1.3,60,44
15.85162,0.75882,16.61044,4499.95181,0.06285,-0.00141, False,1,60,45
15.73614,0.86634,16.60248,4599.95179,-0.05361,0.00032, False,1,60,46
15.62544,1.1889,16.81434,4699.95154,-0.18902,0, False,1.3,60,47
15.52008,1.4354,16.95548,4799.95138,0.02706,0.00589, False,1,60,48
15.42063,1.59823,17.01886,4899.95134,-0.09956,0.00015, False,1,60,49
15.32762,1.66856,16.99619,4999.95128,0.12532,0.00604, False,1,60,50
15.24158,1.63389,16.87547,5099.95119,0.01313,0.00039, False,1,60,51
15.163,1.67168,16.83468,5199.95118,0.0336,0.00261, False,1,60,52
15.09234,1.80199,16.89433,5299.95114,-0.10181,0, False,1.3,60,53
15.03004,2.04977,17.07982,5399.95097,-0.11074,0.00212, False,0.96473,60,54
14.97652,2.14758,17.1241,5499.95092,0.05981,0.00513, False,0.93926,60,55
14.93216,2.06489,16.99705,5599.95084,0.08576,0.0027, False,0.95972,60,56
14.89728,1.89307,16.79034,5699.95062,0.15104,0.00336, False,1,60,57
14.87219,1.77284,16.64503,5799.95049,0.01562,0, False,1.3,60,58
14.85715,1.95658,16.81373,5899.95028,-0.20871,-0.00149, False,1,60,59
14.85239,2.1751,17.02749,5999.95002,-0.03641,0.00516, False,0.93384,60,60
14.85807,2.23035,17.08842,6099.95,-0.03342,0.00232, False,0.92411,60,61
14.87431,2.09737,16.97169,6199.94988,0.16698,0.00563, False,0.95066,60,62
14.9012,1.89734,16.79854,6299.94971,0.03157,0, False,1.3,60,63
14.93874,1.92299,16.86173,6399.94966,-0.10384,0, False,1.3,60,64
14.98691,1.87853,16.86544,6499.94961,0.09939,0.00568, False,1,60,65
15.04561,1.81818,16.86379,6599.94956,-0.0973,-0.00103, False,1,60,66
15.11469,1.6748,16.78949,6699.94944,0.18216,0.00695, False,1,60,67
15.19394,1.3271,16.52104,6799.94907,0.12552,0.00132, False,1,60,68
15.28306,1.62117,16.90423,6899.94773,-0.56392,-0.00929, False,1,60,69
15.38172,1.77632,17.15804,6999.94652,0.27223,0.01628, False,1,60,70
15.4895,1.25156,16.74106,7099.94565,0.20567,0.00115, False,1,60,71
15.60589,0.8945,16.5004,7199.94534,0.07025,0, False,1.3,60,72
15.73035,0.76574,16.49609,7299.94531,-0.06517,0, False,1.3,60,73
15.86221,0.75694,16.61915,7399.94524,-0.07585,0.00209, False,1,60,74
16.00076,0.6735,16.67426,7499.94521,0.01261,0.00375, False,1,60,75
16.1452,0.53054,16.67574,7599.94521,-0.01428,0.00182, False,1,60,76
16.29462,0.52432,16.81894,7699.94509,-0.14968,0, False,1.3,60,77
16.44806,0.7504,17.19846,7799.94434,-0.28508,0, False,1.3,60,78
16.60443,0.96947,17.5739,7899.94361,-0.14529,0.00461, False,1,60,79
16.76259,1.02487,17.78747,7999.94338,-0.09949,0.00304, False,1,60,80
16.92128,1.24873,18.17001,8099.94258,-0.33863,-0.00174, False,1,60,81
17.07914,1.47037,18.54951,8199.94178,-0.09648,0.00633, False,1,60,82
17.23472,1.61079,18.84551,8299.94132,-0.24257,-0.00018, False,1,60,83
17.38648,2.00067,19.38714,8399.93983,-0.37796,0, False,0.99592,60,84
17.53274,2.63232,20.16506,8499.93678,-0.51334,0, False,0.87427,60,85
17.67174,3.39521,21.06695,8599.93271,-0.52016,0.00215, False,0.81324,60,86
17.80162,3.20416,21.00578,8699.93113,0.58914,0.02086, False,0.8265,60,87
17.92038,2.17549,20.09586,8799.92697,0.45369,0, False,0.93376,60,88
18.02592,1.39642,19.42234,8899.92468,0.31825,0, False,1.3,60,89
18.11604,0.72629,18.84232,8999.92299,0.34638,0.00274, False,1,60,90
18.18838,0.35005,18.53843,9099.92238,0.00221,-0.0035, False,1,60,91
18.2405,0.03352,18.27402,9199.92192,0.30048,0.00727, False,1,60,92
18.2698,-0.40192,17.86788,9299.92107,0.16505,0, False,1.3,60,93
18.27359,-0.23011,18.04348,9399.92056,-0.36574,-0.00663, False,1,60,94
18.24901,0.28133,18.53034,9499.91934,-0.19234,0.00518, False,1,60,95
18.19311,0.7912,18.98431,9599.91828,-0.32774,0, False,1.3,60,96
18.10279,1.57179,19.67458,9699.91588,-0.46312,0, False,1.3,60,97
17.97479,2.25442,20.22921,9799.91423,-0.17274,0.00714, False,0.92025,60,98
17.80575,2.84323,20.64898,9899.91333,-0.30814,0, False,0.85481,60,99
17.59213,3.22442,20.81655,9999.91296,0.11568,0.00937, False,0.82504,60,100
17.33029,3.22664,20.55693,10099.91262,0.18176,0.00338,  True,0.82488,60,101
27.21977,5.57342,32.79319,0,-3.4638,0,  True,0,61,0
27.12154,11.83124,38.95278,99.81009,-3.5989,0, False,0.50424,61,1
27.04261,15.29766,42.34027,199.73878,-0.28761,0.05777, False,0.42342,61,2
26.98136,13.93712,40.91848,299.72251,1.91473,0.0392, False,0.45371,61,3
26.93622,10.58145,37.51767,399.66466,1.98299,0.00343, False,0.53682,61,4
26.90561,7.71937,34.62498,499.62228,1.33293,-0.00861, False,0.62187,61,5
26.88808,5.52969,32.41777,599.59789,1.19669,0, False,0.70294,61,6
26.88225,3.76088,30.64313,699.58198,0.83738,-0.00374, False,0.79019,61,7
26.8868,2.41377,29.30058,799.57295,0.70126,0, False,0.89829,61,8
26.90052,1.46714,28.36767,899.56845,0.36814,-0.0033, False,1,61,9
26.92225,0.70535,27.6276,999.5657,0.4798,0.00415, False,1,61,10
26.95089,0.21375,27.16464,1099.56439,0.05116,-0.00491, False,1,61,11
26.98543,0.20866,27.1941,1199.56437,-0.08477,0, False,1.3,61,12
27.02494,-0.00371,27.02123,1299.56405,0.28248,0.00843, False,1,61,13
27.06851,-0.33541,26.7331,1399.56356,0.04793,-0.00165, False,1,61,14
27.11535,-0.2413,26.87405,1499.56338,-0.20917,-0.00203, False,1,61,15
27.16471,0.19311,27.35782,1599.56218,-0.34504,0, False,1.3,61,16
27.21588,0.08582,27.30169,1699.56145,0.40858,0.01491, False,1,61,17
27.26824,-0.35398,26.91426,1799.56052,0.03578,-0.00397, False,1,61,18
27.32122,-0.35066,26.97056,1899.56048,-0.10015,0, False,1.3,61,19
27.37429,-0.42117,26.95313,1999.56042,0.1199,0.00597, False,1,61,20
27.42701,-0.38187,27.04514,2099.56022,-0.22498,-0.0035, False,1,61,21
27.47894,-0.37987,27.09907,2199.56002,0.16277,0.00878, False,1,61,22
27.52974,-0.48659,27.04315,2299.55992,-0.09842,-0.0021, False,1,61,23
27.57909,-0.24544,27.33364,2399.55947,-0.23432,0, False,1.3,61,24
27.62671,0.52675,28.15346,2499.55583,-0.70465,-0.00561, False,1,61,25
27.67239,1.54692,29.21931,2599.55011,-0.51694,0.00542, False,1,61,26
27.71595,2.11723,29.83319,2699.54808,-0.18687,0.00781, False,0.94586,61,27
27.75726,2.09603,29.85329,2799.54792,0.16348,0.00815, False,0.951,61,28
27.7962,1.94905,29.74525,2899.54781,-0.03946,-0.00112, False,1,61,29
27.83271,1.91569,29.7484,2999.54781,0.03578,0.00354, False,1,61,30
27.86677,2.20678,30.07355,3099.54703,-0.40792,-0.00516, False,0.9281,61,31
27.89839,2.56053,30.45891,3199.54611,-0.03407,0.00854, False,0.88162,61,32
27.92759,2.33292,30.26051,3299.5458,0.26112,0.00723, False,0.90877,61,33
27.95445,2.0854,30.03985,3399.54547,-0.00798,-0.00223, False,0.95379,61,34
27.97905,2.09395,30.073,3499.54546,-0.02999,0.00191, False,0.95154,61,35
28.00153,2.12354,30.12507,3599.54545,-0.02968,0.00228, False,0.94443,61,36
28.02201,2.15511,30.17713,3699.54543,-0.02998,0.00227, False,0.93773,61,37
28.04068,2.00116,30.04184,3799.54528,0.18478,0.00588, False,0.9946,61,38
28.05771,1.78041,29.83812,3899.54505,0.04881,0, False,1.3,61,39
28.07331,1.24592,29.31923,3999.54339,0.54528,0.0106, False,1,61,40
28.0877,0.61747,28.70517,4099.54132,0.15878,-0.0042, False,1,61,41
28.10112,0.44569,28.54681,4199.54117,0.02282,0, False,1.3,61,42
28.11381,0.51191,28.62572,4299.54111,-0.1131,0, False,1.3,61,43
28.12603,0.60132,28.72736,4399.54105,-0.00348,0.00412, False,1,61,44
28.13806,0.75588,28.89394,4499.54087,-0.18722,-0.0008, False,1,61,45
28.15017,1.40733,29.5575,4599.53848,-0.57277,-0.00419, False,1,61,46
28.16264,1.71612,29.87876,4699.53719,0.20383,0.01529, False,1,61,47
28.17576,1.41993,29.59568,4799.53678,0.12064,0.00088, False,1,61,48
28.1898,1.3141,29.5039,4899.53672,-0.01532,0, False,1.3,61,49
28.20507,1.15117,29.35624,4999.53656,0.18432,0.00562, False,1,61,50
28.22184,1.09865,29.32049,5099.53642,-0.14301,-0.00321, False,1,61,51
28.24039,1.20488,29.44526,5199.53631,-0.00012,0.00467, False,1,61,52
28.261,1.21353,29.47453,5299.53631,-0.03338,0.00172, False,1,61,53
28.28393,1.36759,29.65152,5399.53613,-0.1693,0, False,1.3,61,54
28.30944,1.75625,30.0657,5499.53525,-0.30518,0, False,1.3,61,55
28.33779,2.03996,30.37775,5599.53468,-0.05267,0.00651, False,0.96839,61,56
28.36919,2.15621,30.5254,5699.53456,-0.11646,0.00121, False,0.93751,61,57
28.40387,2.00181,30.40568,5799.53432,0.25327,0.00848, False,0.99327,61,58
28.44203,1.64042,30.08244,5899.53377,0.11728,0, False,1.3,61,59
28.48384,1.51266,29.9965,5999.53371,-0.01867,0, False,1.3,61,60
28.52948,1.61833,30.14782,6099.53357,-0.15458,0, False,1.3,61,61
28.57908,1.90727,30.48635,6199.53299,-0.23327,0.00096, False,1,61,62
28.63275,2.21996,30.85271,6299.53232,-0.18659,0.00306, False,0.92585,61,63
28.69058,2.43621,31.12679,6399.53194,-0.12755,0.00327, False,0.89557,61,64
28.75263,2.20264,30.95527,6499.53153,0.32362,0.00984, False,0.92882,61,65
28.81893,1.83598,30.65491,6599.53097,0.02089,-0.0028, False,1,61,66
28.88948,1.53785,30.42733,6699.53065,0.23967,0.00595, False,1,61,67
28.96424,1.16358,30.12781,6799.53018,0.10369,0, False,1.3,61,68
29.04314,1.16782,30.21096,6899.53002,-0.19865,-0.00279, False,1,61,69
29.12606,1.55031,30.67637,6999.52892,-0.33453,0, False,1.3,61,70
29.21287,2.32362,31.53649,7099.52509,-0.65078,-0.00302, False,0.91005,61,71
29.30337,2.34614,31.64951,7199.52329,0.52004,0.0219, False,0.90698,61,72
29.39733,1.46339,30.86072,7299.52015,0.384,0, False,1.3,61,73
29.49447,0.81487,30.30934,7399.51861,0.24798,0, False,1.3,61,74
29.59446,0.46361,30.05808,7499.51824,0.04016,-0.0012, False,1,61,75
29.69694,0.40979,30.10673,7599.5182,-0.09577,0, False,1.3,61,76
29.80148,0.85904,30.66052,7699.51642,-0.53836,-0.00514, False,1,61,77
29.9076,1.81114,31.71874,7799.5108,-0.67415,0, False,1.3,61,78
