episode_count, step_count, room_temp, temp_SP, temp_extAir,co2_ppm, PowElec_HVAC, PowElec_ZoHVAC, heat_valve, QAir, damper, occupancy, terminal, reward, day, concept_id
2,16819,20.0079,13,7.1667,923.4152,0.0135,0.016,0,0,1,0,0,0,0,2
2,16820,20.0199,13,7.3333,919.4786,0.0135,0.016,0,0,1,0,0,0,0,2
2,16821,20.0342,13,7.5,915.5748,0.0135,0.016,0,0,1,0,0,0,0,2
2,16822,20.0504,13,7.6667,911.7034,0.0135,0.016,0,0,1,0,0,0,0,2
2,16823,20.0681,13,7.8333,907.8643,0.0135,0.016,0,0,1,0,0,0,0,2
2,16824,20.0869,13,8,904.057,0.0135,0.016,0,0,1,0,0,0,0,2
2,16825,20.1066,13,8.1667,900.2814,0.0135,0.016,0,0,1,0,0,0,0,2
2,16826,20.127,13,8.3333,896.5372,0.0135,0.016,0,0,1,0,0,0,0,2
2,16827,20.1445,13,8.5,892.8242,0.0135,0.016,0,0,1,0,0,0,0,2
2,16828,20.1599,13,8.6667,889.142,0.0135,0.016,0,0,1,0,0,0,0,2
2,16829,20.1735,13,8.8333,885.4904,0.0135,0.016,0,0,1,0,0,0,0,2
2,16830,20.1857,13,9,881.8692,0.0135,0.016,0,0,1,0,0,0,0,2
2,16831,20.1969,13,9.1667,878.2781,0.0135,0.016,0,0,1,0,0,0,0,2
2,16832,20.2073,13,9.3333,874.7169,0.0135,0.016,0,0,1,0,0,0,0,2
2,16833,20.217,13,9.5,871.1853,0.0135,0.016,0,0,1,0,0,0,0,2
2,16834,20.2263,13,9.6667,867.683,0.0135,0.016,0,0,1,0,0,0,0,2
2,16835,20.2352,13,9.8333,864.2099,0.0135,0.016,0,0,1,0,0,0,0,2
2,16836,20.2437,13,10,860.7656,0.0135,0.016,0,0,1,0,0,0,0,2
2,16837,20.252,13,10.0833,857.35,0.0135,0.016,0,0,1,0,0,0,0,2
2,16838,20.2602,13,10.1667,853.9628,0.0135,0.016,0,0,1,0,0,0,0,2
2,16839,20.2723,13,10.25,850.6038,0.0135,0.016,0,0,1,0,0,0,0,2
2,16840,20.2875,13,10.3333,847.2726,0.0135,0.016,0,0,1,0,0,0,0,2
2,16841,20.3052,13,10.4167,843.9692,0.0135,0.016,0,0,1,0,0,0,0,2
