episode_count, step_count, room_temp, temp_SP, temp_extAir,co2_ppm, PowElec_HVAC, PowElec_ZoHVAC, heat_valve, QAir, damper, occupancy, terminal, reward, day, concept_id
2,12614,20.8146,21,4.0833,988.6329,0.0135,0.016,0,0,1,4,0,0,0,1
2,12615,20.6829,21,4.075,1033.7788,0.0135,0.016,0,0,1,4,0,0,0,1
2,12616,20.5422,21,4.0667,1078.5493,0.0135,0.016,0,0,1,4,0,0,0,1
2,12617,20.3944,21,4.0583,1122.9475,0.0135,0.016,0,0,1,4,0,0,0,1
2,12618,20.241,21,4.05,1166.9766,0.0135,0.016,0,0.063,1,4,0,0,0,1
2,12619,20.083,21,4.0417,1137.2656,84.9247,0.016,0,0.063,1,4,0,0,0,1
2,12620,19.9259,21,4.0333,1110.7383,84.9247,1599.984,1,0.063,1,4,0,0,0,1
2,12621,19.7649,21,4.025,1087.0534,84.9247,1599.984,1,0.063,1,4,0,0,0,1
2,12622,20.3054,21,4.0167,1065.9065,84.9247,0.016,0,0,1,4,0,0,0,1
2,12623,20.6707,21,4.0083,1110.4098,0.0135,1599.984,1,0.063,1,4,0,0,0,1
2,12624,20.2295,21,4,1086.7602,84.9247,1286.3393,0.804,0.063,1,4,0,0,0,1
2,12625,20.5637,21,4,1065.6446,84.9247,0.016,0,0,1,4,0,0,0,1
2,12626,20.6279,21,4,1110.1502,0.0135,0.016,0,0,1,4,0,0,0,1
2,12627,20.1189,21,4,1154.2856,0.0135,0.016,0,0.063,1,4,0,0,0,1
2,12628,19.7183,21,4,1125.9345,84.9247,0.016,0,0.063,1,4,0,0,0,1
2,12629,19.4134,21,4,1100.6214,84.9247,1599.984,1,0.063,1,4,0,0,0,1
2,12630,19.1691,21,4,1078.0206,84.9247,1599.984,1,0.063,1,4,0,0,0,1
2,12631,19.6776,21,4,1057.8415,84.9247,1599.984,1,0.063,1,4,0,0,0,1
2,12632,20.0512,21,4,1039.8247,84.9247,1599.984,1,0.063,1,4,0,0,0,1
2,12633,20.3445,21,4,1023.7384,84.9247,1599.984,1,0.063,1,4,0,0,0,1
2,12634,20.5738,21,4,1009.3759,84.9247,0.016,0,0,1,4,0,0,0,1
2,12635,20.7526,21,4,1054.3493,0.0135,0.016,0,0,1,4,0,0,0,1
2,12636,20.1924,21,4,1098.9487,0.0135,0.016,0,0,1,4,0,0,0,1
2,12637,19.7518,21,4.0167,1143.1773,0.0135,0.016,0,0,1,4,0,0,0,1
2,12638,19.4045,21,4.0333,1187.0381,0.0135,1599.984,1,0.063,1,4,0,0,0,1
2,12639,19.1322,21,4.05,1155.1775,84.9247,1599.984,1,0.063,1,4,0,0,0,1
2,12640,19.6304,21,4.0667,1126.7309,84.9247,1599.984,1,0.063,1,4,0,0,0,1
2,12641,19.998,21,4.0833,1101.3324,84.9247,1599.984,1,0.063,1,4,0,0,0,1
2,12642,20.2889,21,4.1,1078.6554,84.9247,1599.984,1,0.063,1,4,0,0,0,1
2,12643,20.5185,21,4.1167,1058.4083,84.9247,0.016,0,0,1,4,0,0,0,1
2,12644,20.6999,21,4.1333,1102.974,0.0135,0.016,0,0,1,4,0,0,0,1
2,12645,20.1441,21,4.15,1147.1691,0.0135,0.016,0,0.063,1,4,0,0,0,1
2,12646,19.7094,21,4.1667,1119.5806,84.9247,0.016,0,0.063,1,4,0,0,0,1
2,12647,19.3812,21,4.1833,1094.9483,84.9247,1599.984,1,0.063,1,4,0,0,0,1
2,12648,19.1208,21,4.2,1072.9554,84.9247,1599.984,1,0.063,1,2,0,0,0,1
2,12649,19.6189,21,4.2667,1029.7615,84.9247,1599.984,1,0.063,1,2,0,0,0,1
2,12650,19.9867,21,4.3333,991.196,84.9247,1599.984,1,0.063,1,2,0,0,0,1
2,12651,20.3317,21,4.4,956.7629,84.9247,1599.984,1,0.063,1,2,0,0,0,1
2,12652,20.656,21,4.4667,926.0194,84.9247,1599.984,1,0.063,1,2,0,0,0,1
2,12653,20.9645,21,4.5333,898.5701,84.9247,0.016,0,0,1,2,0,0,0,1
2,12654,21.2605,21,4.6,919.6525,0.0135,0.016,0,0,1,2,0,0,0,1
2,12655,20.8507,21,4.6667,940.5596,0.0135,0.016,0,0,1,2,0,0,0,1
2,12656,20.5845,21,4.7333,961.2929,0.0135,0.016,0,0,1,2,0,0,0,1
2,12657,20.4302,21,4.8,981.8537,0.0135,0.016,0,0,1,2,0,0,0,1
2,12658,20.3632,21,4.8667,1002.2436,0.0135,1599.984,1,0.063,1,2,0,0,0,1
2,12659,20.3644,21,4.9333,966.6267,84.9247,1599.984,1,0.063,1,2,0,0,0,1
2,12660,21.1233,21,5,934.8263,84.9247,1599.984,1,0.063,1,0,0,0,0,1
2,12661,21.7497,21,5,882.8758,84.9247,1599.984,1,0.063,1,0,0,0,0,1
2,12662,22.2978,21,5,836.492,84.9247,0.016,0,0,1,0,0,0,0,1
2,12663,22.6772,21,5,833.2782,0.0135,0.016,0,0,1,0,0,0,0,1
2,12664,22.2339,21,5,830.0911,0.0135,0.016,0,0,1,0,0,0,0,2
2,12665,21.836,21,5,826.9306,0.0135,0.016,0,0,1,0,0,0,0,2
2,12666,21.4734,21,5,823.7963,0.0135,0.016,0,0,1,0,0,0,0,2
2,12667,21.1382,21,5,820.6881,0.0135,0.016,0,0,1,0,0,0,0,2
2,12668,20.8242,21,5,817.6058,0.0135,0.016,0,0,1,0,0,0,0,1
2,12669,20.5265,21,5,814.549,0.0135,0.016,0,0,1,0,0,0,0,2
