episode_count,step_count,room_temp,temp_SP,temp_extAir,co2_ppm,PowElec_HVAC,PowElec_ZoHVAC,heat_valve,QAir,damper,occupancy,terminal,reward,day,concept_id
2,100919,18.7768,13,-0.0833,913.8862,0.0135,0.016,0,0,1,2,0,0,0,2
2,100920,18.7561,13,0,934.8412,0.0135,0.016,0,0,1,3,0,0,0,2
2,100921,18.7365,13,0.0667,968.0282,0.0135,0.016,0,0,1,3,0,0,0,2
2,100922,18.7177,13,0.1333,1000.9393,0.0135,0.016,0,0,1,3,0,0,0,2
2,100923,18.7093,13,0.2,1033.5766,0.0135,0.016,0,0,1,3,0,0,0,2
2,100924,18.709,13,0.2667,1065.9426,0.0135,0.016,0,0,1,3,0,0,0,2
2,100925,18.715,13,0.3333,1098.0395,0.0135,0.016,0,0,1,3,0,0,0,2
2,100926,18.726,13,0.4,1129.8694,0.0135,0.016,0,0,1,3,0,0,0,2
2,100927,18.741,13,0.4667,1161.4347,0.0135,0.016,0,0.063,1,3,0,0,0,2
2,100928,18.759,13,0.5333,1120.5388,84.9247,0.016,0,0.063,1,3,0,0,0,2
2,100929,18.779,13,0.6,1084.0251,84.9247,0.016,0,0.063,1,3,0,0,0,2
2,100930,18.8009,13,0.6667,1051.4238,84.9247,0.016,0,0,1,3,0,0,0,2
2,100931,18.8245,13,0.7333,1083.6414,0.0135,0.016,0,0,1,3,0,0,0,2
2,100932,18.8499,13,0.8,1115.5911,0.0135,0.016,0,0,1,3,0,0,0,2
2,100933,18.8763,13,0.8917,1147.2751,0.0135,0.016,0,0.063,1,3,0,0,0,2
2,100934,18.9034,13,0.9833,1107.8965,84.9247,0.016,0,0.063,1,3,0,0,0,2
2,100935,18.9238,13,1.075,1072.7373,84.9247,0.016,0,0.063,1,3,0,0,0,2
2,100936,18.9399,13,1.1667,1041.3456,84.9247,0.016,0,0,1,3,0,0,0,2
2,100937,18.9526,13,1.2583,1073.647,0.0135,0.016,0,0,1,3,0,0,0,2
2,100938,18.963,13,1.35,1105.6798,0.0135,0.016,0,0,1,3,0,0,0,2
2,100939,18.9711,13,1.4417,1137.4462,0.0135,0.016,0,0.063,1,3,0,0,0,2
2,100940,18.9775,13,1.5333,1099.1208,84.9247,0.016,0,0.063,1,3,0,0,0,2
2,100941,18.9825,13,1.625,1064.902,84.9247,0.016,0,0,1,3,0,0,0,2
2,100942,18.9864,13,1.7167,1097.0075,0.0135,0.016,0,0,1,3,0,0,0,2
2,100943,18.9898,13,1.8083,1128.846,0.0135,0.016,0,0,1,3,0,0,0,2
2,100944,18.9926,13,1.9,1160.4198,0.0135,0.016,0,0.063,1,2,0,0,0,2
2,100945,18.995,13,1.95,1107.8539,84.9247,0.016,0,0.063,1,2,0,0,0,2
2,100946,18.9969,13,2,1060.9206,84.9247,0.016,0,0.063,1,2,0,0,0,2
2,100947,19.0019,13,2.05,1019.0163,84.9247,0.016,0,0,1,2,0,0,0,2
2,100948,19.009,13,2.1,1039.0972,0.0135,0.016,0,0,1,2,0,0,0,2
2,100949,19.0181,13,2.15,1059.0111,0.0135,0.016,0,0,1,2,0,0,0,2
2,100950,19.0286,13,2.2,1078.7594,0.0135,0.016,0,0,1,2,0,0,0,2
2,100951,19.0401,13,2.25,1098.3435,0.0135,0.016,0,0,1,2,0,0,0,2
2,100952,19.0526,13,2.3,1117.7647,0.0135,0.016,0,0,1,2,0,0,0,2
2,100953,19.0658,13,2.35,1137.0245,0.0135,0.016,0,0.063,1,2,0,0,0,2
2,100954,19.0795,13,2.4,1086.9654,84.9247,0.016,0,0.063,1,2,0,0,0,2
2,100955,19.0932,13,2.45,1042.2703,84.9247,0.016,0,0,1,2,0,0,0,2
2,100956,19.1075,13,2.5,1062.1579,0.0135,0.016,0,0,1,2,0,0,0,2
2,100957,19.1224,13,2.5583,1081.88,0.0135,0.016,0,0,1,2,0,0,0,2
2,100958,19.1376,13,2.6167,1101.4381,0.0135,0.016,0,0,1,2,0,0,0,2
2,100959,19.1922,13,2.675,1120.8337,0.0135,0.016,0,0.063,1,2,0,0,0,2
2,100960,19.2774,13,2.7333,1072.5095,84.9247,0.016,0,0.063,1,2,0,0,0,2
2,100961,19.3844,13,2.7917,1029.3634,84.9247,0.016,0,0,1,2,0,0,0,2
2,100962,19.5101,13,2.85,1049.3583,0.0135,0.016,0,0,1,2,0,0,0,2
2,100963,19.6541,13,2.9083,1069.1868,0.0135,0.016,0,0,1,2,0,0,0,2
2,100964,19.8096,13,2.9667,1088.8505,0.0135,0.016,0,0,1,2,0,0,0,2
2,100965,19.974,13,3.025,1108.3507,0.0135,0.016,0,0,1,2,0,0,0,2
2,100966,20.1455,13,3.0833,1127.6887,0.0135,0.016,0,0.063,1,2,0,0,0,2
2,100967,20.3226,13,3.1417,1078.63,84.9247,0.016,0,0.063,1,2,0,0,0,2
2,100968,20.4993,13,3.2,1034.8281,84.9247,0.016,0,0,1,4,0,0,0,2
2,100969,20.6808,13,3.1833,1079.5899,0.0135,0.016,0,0,1,4,0,0,0,2
2,100970,20.8709,13,3.1667,1123.9795,0.0135,0.016,0,0,1,4,0,0,0,2
