episode_count, step_count, room_temp, temp_SP, temp_extAir,co2_ppm, PowElec_HVAC, PowElec_ZoHVAC, heat_valve, QAir, damper, occupancy, terminal, reward, day, concept_id
2,4204,18.7906,13,6.0333,1072.6314,84.9247,0.016,0,0,1,4,0,0,0,2
2,4205,18.7911,13,6.0667,1117.0789,0.0135,0.016,0,0,1,4,0,0,0,2
2,4206,18.7889,13,6.1,1161.1567,0.0135,0.016,0,0.063,1,4,0,0,0,2
2,4207,18.7843,13,6.1333,1132.0694,84.9247,0.016,0,0.063,1,4,0,0,0,2
2,4208,18.7779,13,6.1667,1106.0988,84.9247,0.016,0,0.063,1,4,0,0,0,2
2,4209,18.7701,13,6.2,1082.9111,84.9247,0.016,0,0.063,1,4,0,0,0,2
2,4210,18.7611,13,6.2333,1062.208,84.9247,0.016,0,0,1,4,0,0,0,1
2,4211,18.751,13,6.2667,1106.7421,0.0135,0.016,0,0,1,4,0,0,0,1
2,4212,18.7398,13,6.3,1150.9059,0.0135,0.016,0,0.063,1,1,0,0,0,2
2,4213,18.7279,13,6.1333,1087.5807,84.9247,0.016,0,0.063,1,1,0,0,0,2
2,4214,18.7158,13,5.9667,1031.0409,84.9247,0.016,0,0,1,1,0,0,0,2
2,4215,18.7157,13,5.8,1038.6156,0.0135,0.016,0,0,1,1,0,0,0,2
2,4216,18.7245,13,5.6333,1046.1273,0.0135,0.016,0,0,1,1,0,0,0,2
2,4217,18.7407,13,5.4667,1053.5765,0.0135,0.016,0,0,1,1,0,0,0,2
2,4218,18.7626,13,5.3,1060.9638,0.0135,0.016,0,0,1,1,0,0,0,2
2,4219,18.7889,13,5.1333,1068.2897,0.0135,0.016,0,0,1,1,0,0,0,2
2,4220,18.8187,13,4.9667,1075.5547,0.0135,0.016,0,0,1,1,0,0,0,2
2,4221,18.8512,13,4.8,1082.7592,0.0135,0.016,0,0,1,1,0,0,0,2
2,4222,18.8858,13,4.6333,1089.9039,0.0135,0.016,0,0,1,1,0,0,0,2
2,4223,18.922,13,4.4667,1096.9891,0.0135,0.016,0,0,1,1,0,0,0,2
2,4224,18.9595,13,4.3,1104.0154,0.0135,0.016,0,0,1,2,0,0,0,2
2,4225,18.998,13,4.15,1123.3895,0.0135,0.016,0,0.063,1,2,0,0,0,2
2,4226,19.0373,13,4,1074.7915,84.9247,0.016,0,0.063,1,2,0,0,0,2
2,4227,19.049,13,3.85,1031.4009,84.9247,0.016,0,0,1,2,0,0,0,2
2,4228,19.041,13,3.7,1051.3788,0.0135,0.016,0,0,1,2,0,0,0,2
2,4229,19.0172,13,3.55,1071.1906,0.0135,0.016,0,0,1,2,0,0,0,2
2,4230,18.9807,13,3.4,1090.8376,0.0135,0.016,0,0,1,2,0,0,0,2
2,4231,18.9342,13,3.25,1110.3213,0.0135,0.016,0,0,1,2,0,0,0,2
2,4232,18.8799,13,3.1,1129.6429,0.0135,0.016,0,0.063,1,2,0,0,0,2
2,4233,18.8195,13,2.95,1080.3748,84.9247,0.016,0,0.063,1,2,0,0,0,2
2,4234,18.7559,13,2.8,1036.3859,84.9247,0.016,0,0,1,2,0,0,0,2
2,4235,18.6882,13,2.65,1056.3224,0.0135,0.016,0,0,1,2,0,0,0,2
2,4236,18.6154,13,2.5,1076.093,0.0135,0.016,0,0,1,2,0,0,0,2
2,4237,18.5402,13,2.3167,1095.6993,0.0135,0.016,0,0,1,2,0,0,0,2
2,4238,18.4632,13,2.1333,1115.1425,0.0135,0.016,0,0,1,2,0,0,0,2
2,4239,18.435,13,1.95,1134.4241,0.0135,0.016,0,0.063,1,2,0,0,0,2
2,4240,18.4447,13,1.7667,1084.6437,84.9247,0.016,0,0.063,1,2,0,0,0,2
2,4241,18.4839,13,1.5833,1040.1974,84.9247,0.016,0,0,1,2,0,0,0,2
2,4242,18.5454,13,1.4,1060.1022,0.0135,0.016,0,0,1,2,0,0,0,2
2,4243,18.6265,13,1.2167,1079.8414,0.0135,0.016,0,0,1,2,0,0,0,2
2,4244,18.7216,13,1.0333,1099.4165,0.0135,0.016,0,0,1,2,0,0,0,2
2,4245,18.8278,13,0.85,1118.8288,0.0135,0.016,0,0,1,2,0,0,0,2
2,4246,18.9427,13,0.6667,1138.0797,0.0135,0.016,0,0.063,1,2,0,0,0,2
2,4247,19.0644,13,0.4833,1087.9076,84.9247,0.016,0,0.063,1,2,0,0,0,2
2,4248,19.1881,21,0.3,1043.1116,84.9247,0.016,0,0,1,3,0,0,0,2
2,4249,19.3168,21,0.2,1075.3983,0.0135,0.016,0,0,1,3,0,0,0,2
2,4250,19.4528,21,0.1,1107.4165,0.0135,0.016,0,0,1,3,0,0,0,1
2,4251,19.5281,21,0,1139.1685,0.0135,1599.984,1,0.063,1,3,0,0,0,1
2,4252,19.5561,21,-0.1,1100.6585,84.9247,1599.984,1,0.063,1,3,0,0,0,1
2,4253,20.2508,21,-0.2,1066.2749,84.9247,1599.984,1,0.063,1,3,0,0,0,1
2,4254,20.747,21,-0.3,1035.5757,84.9247,1599.984,1,0.063,1,3,0,0,0,1
2,4255,21.1125,21,-0.4,1008.1659,84.9247,0.016,0,0,1,3,0,0,0,1
2,4256,21.3744,21,-0.5,1040.7432,0.0135,0.016,0,0,1,3,0,0,0,1
2,4257,20.8575,21,-0.6,1073.0496,0.0135,0.016,0,0,1,3,0,0,0,1
2,4258,20.4256,21,-0.7,1105.0874,0.0135,0.016,0,0,1,3,0,0,0,1
2,4259,20.0597,21,-0.8,1136.8587,0.0135,0.016,0,0.063,1,3,0,0,0,1
2,4260,19.7453,21,-0.9,1098.5962,84.9247,0.016,0,0.063,1,4,0,0,0,1
2,4261,19.4795,21,-0.9,1076.2124,84.9247,1599.984,1,0.063,1,4,0,0,0,1
2,4262,19.2416,21,-0.9,1056.2271,84.9247,1599.984,1,0.063,1,4,0,0,0,1
2,4263,19.7692,21,-0.9,1038.3833,84.9247,1599.984,1,0.063,1,4,0,0,0,1
2,4264,20.1709,21,-0.9,1022.4515,84.9247,1599.984,1,0.063,1,4,0,0,0,1
2,4265,20.4991,21,-0.9,1008.2268,84.9247,1599.984,1,0.063,1,4,0,0,0,1
2,4266,20.7689,21,-0.9,995.5263,84.9247,0.016,0,0,1,4,0,0,0,1
2,4267,20.9927,21,-0.9,1040.6149,0.0135,0.016,0,0,1,4,0,0,0,1
2,4268,20.4821,21,-0.9,1085.3286,0.0135,0.016,0,0,1,4,0,0,0,1
2,4269,20.0938,21,-0.9,1129.6704,0.0135,0.016,0,0,1,4,0,0,0,1
2,4270,19.8008,21,-0.9,1173.6435,0.0135,0.016,0,0.063,1,4,0,0,0,1
2,4271,19.582,21,-0.9,1143.2182,84.9247,1599.984,1,0.063,1,4,0,0,0,1
2,4272,19.4271,21,-0.9,1116.053,84.9247,1599.984,1,0.063,1,3,0,0,0,1
2,4273,20.0188,21,-0.9,1080.0199,84.9247,1599.984,1,0.063,1,3,0,0,0,1
2,4274,20.4711,21,-0.9,1047.8479,84.9247,1599.984,1,0.063,1,3,0,0,0,1
2,4275,20.8065,21,-0.9,1019.1231,84.9247,1599.984,1,0.063,1,3,0,0,0,1
2,4276,21.0503,21,-0.9,993.4763,84.9247,0.016,0,0,1,3,0,0,0,1
2,4277,21.222,21,-0.9,1026.1757,0.0135,0.016,0,0,1,3,0,0,0,1
2,4278,20.6372,21,-0.9,1058.6033,0.0135,0.016,0,0,1,3,0,0,0,1
2,4279,20.1581,21,-0.9,1090.7612,0.0135,0.016,0,0,1,3,0,0,0,1
2,4280,19.7613,21,-0.9,1122.6516,0.0135,0.016,0,0,1,3,0,0,0,1
2,4281,19.4285,21,-0.9,1154.2769,0.0135,1599.984,1,0.063,1,3,0,0,0,1
2,4282,19.1455,21,-0.9,1114.148,84.9247,1599.984,1,0.063,1,3,0,0,0,1
2,4283,19.6136,21,-0.9,1078.319,84.9247,1599.984,1,0.063,1,3,0,0,0,1
2,4284,19.9361,21,-0.9,1046.3292,84.9247,1599.984,1,0.063,1,3,0,0,0,1
2,4285,20.17,21,-0.9,1017.7672,84.9247,1599.984,1,0.063,1,3,0,0,0,1
2,4286,20.3334,21,-0.9,992.2657,84.9247,1599.984,1,0.063,1,3,0,0,0,1
2,4287,20.4668,21,-0.9,969.4967,84.9247,0.016,0,0,1,3,0,0,0,1
2,4288,20.5758,21,-0.9,1002.3956,0.0135,0.016,0,0,1,3,0,0,0,1
2,4289,19.9642,21,-0.9,1035.0208,0.0135,973.6778,0.6085,0.063,1,3,0,0,0,1
2,4290,19.4894,21,-0.9,1007.6705,84.9247,0.016,0,0,1,3,0,0,0,1
2,4291,19.5631,21,-0.9,1040.2519,0.0135,1599.984,1,0.063,1,3,0,0,0,1
2,4292,19.1817,21,-0.9,1012.3411,84.9247,1599.984,1,0.063,1,3,0,0,0,1
2,4293,19.6014,21,-0.9,987.421,84.9247,1599.984,1,0.063,1,3,0,0,0,1
2,4294,19.9103,21,-0.9,965.1712,84.9247,1599.984,1,0.063,1,3,0,0,0,1
2,4295,20.1583,21,-0.9,945.3055,84.9247,1599.984,1,0.063,1,3,0,0,0,1
2,4296,20.3574,21,-0.9,927.5684,84.9247,1599.984,1,0.063,1,2,0,0,0,1
2,4297,20.5182,21,-0.9333,899.9532,84.9247,1599.984,1,0.063,1,2,0,0,0,1
2,4298,20.6488,21,-0.9667,875.297,84.9247,0.016,0,0,1,2,0,0,0,1
2,4299,20.7521,21,-1,896.5729,0.0135,0.016,0,0,1,2,0,0,0,1
2,4300,20.1324,21,-1.0333,917.672,0.0135,0.3002,0.0071,0,1,2,0,0,0,1
2,4301,19.6478,21,-1.0667,938.5955,0.0135,0.016,0,0,1,2,0,0,0,1
2,4302,19.2685,21,-1.1,959.3451,0.0135,1599.984,1,0.063,1,2,0,0,0,1
2,4303,18.971,21,-1.1333,928.3249,84.9247,1599.984,1,0.063,1,2,0,0,0,1
2,4304,19.45,21,-1.1667,900.6286,84.9247,1599.984,1,0.063,1,2,0,0,0,1
2,4305,19.8023,21,-1.2,875.9001,84.9247,1599.984,1,0.063,1,2,0,0,0,1
2,4306,20.0809,21,-1.2333,853.8212,84.9247,1599.984,1,0.063,1,2,0,0,0,1
2,4307,20.3006,21,-1.2667,834.1082,84.9247,1599.984,1,0.063,1,2,0,0,0,1
2,4308,20.4741,21,-1.3,816.5075,84.9247,1599.984,1,0.063,1,0,0,0,0,1
2,4309,20.6112,21,-1.3417,777.2352,84.9247,1599.984,1,0.063,1,0,0,0,0,1
2,4310,20.7198,21,-1.3833,742.171,84.9247,960.3483,0.6002,0.063,1,0,0,0,0,1
2,4311,20.8022,21,-1.425,710.8641,84.9247,0.016,0,0,1,0,0,0,0,1
2,4312,20.5824,21,-1.4667,708.6949,0.0135,0.016,0,0,1,0,0,0,0,1
2,4313,19.9865,21,-1.5083,706.5438,0.0135,0.016,0,0,1,0,0,0,0,2
2,4314,19.5166,21,-1.55,704.4106,0.0135,0.016,0,0,1,0,0,0,0,2
2,4315,19.1449,21,-1.5917,702.2951,0.0135,0.016,0,0,1,0,0,0,0,2
2,4316,18.8495,21,-1.6333,700.1972,0.0135,0.016,0,0,1,0,0,0,0,2
2,4317,18.6136,21,-1.675,698.1168,0.0135,0.016,0,0,1,0,0,0,0,2
2,4318,18.424,21,-1.7167,696.0536,0.0135,0.016,0,0,1,0,0,0,0,2
2,4319,18.2705,21,-1.7583,694.0076,0.0135,0.016,0,0,1,0,0,0,0,2
2,4320,18.1451,21,-1.8,691.9787,0.0135,0.016,0,0,1,0,0,0,0,2
2,4321,18.0415,21,-1.7917,689.9665,0.0135,0.016,0,0,1,0,0,0,0,2
2,4322,17.9549,21,-1.7833,687.9712,0.0135,0.016,0,0,1,0,0,0,0,2
2,4323,17.894,21,-1.775,685.9924,0.0135,0.016,0,0,1,0,0,0,0,2
2,4324,17.8531,21,-1.7667,684.03,0.0135,0.016,0,0,1,0,0,0,0,2
2,4325,17.8277,21,-1.7583,682.084,0.0135,0.016,0,0,1,0,0,0,0,2
2,4326,17.8145,21,-1.75,680.1542,0.0135,0.016,0,0,1,0,0,0,0,2
2,4327,17.8109,21,-1.7417,678.2404,0.0135,0.016,0,0,1,0,0,0,0,2
2,4328,17.8146,21,-1.7333,676.3425,0.0135,0.016,0,0,1,0,0,0,0,2
2,4329,17.8242,21,-1.725,674.4604,0.0135,0.016,0,0,1,0,0,0,0,2
2,4330,17.8383,21,-1.7167,672.594,0.0135,0.016,0,0,1,0,0,0,0,2
2,4331,17.856,21,-1.7083,670.7431,0.0135,0.016,0,0,1,0,0,0,0,2
2,4332,17.8764,21,-1.7,668.9076,0.0135,0.016,0,0,1,0,0,0,0,2
2,4333,17.8991,21,-1.7167,667.0873,0.0135,0.016,0,0,1,0,0,0,0,2
2,4334,17.9235,21,-1.7333,665.2822,0.0135,0.016,0,0,1,0,0,0,0,2
2,4335,17.9377,21,-1.75,663.492,0.0135,0.016,0,0,1,0,0,0,0,2
2,4336,17.9438,21,-1.7667,661.7168,0.0135,0.016,0,0,1,0,0,0,0,2
2,4337,17.9437,21,-1.7833,659.9563,0.0135,0.016,0,0,1,0,0,0,0,2
2,4338,17.9388,21,-1.8,658.2105,0.0135,0.016,0,0,1,0,0,0,0,2
2,4339,17.9301,21,-1.8167,656.4792,0.0135,0.016,0,0,1,0,0,0,0,2
2,4340,17.9184,21,-1.8333,654.7622,0.0135,0.016,0,0,1,0,0,0,0,2
2,4341,17.9043,21,-1.85,653.0596,0.0135,0.016,0,0,1,0,0,0,0,2
2,4342,17.8885,21,-1.8667,651.3711,0.0135,0.016,0,0,1,0,0,0,0,2
2,4343,17.8712,21,-1.8833,649.6967,0.0135,0.016,0,0,1,0,0,0,0,2
2,4344,17.8529,21,-1.9,648.0361,0.0135,0.016,0,0,1,0,0,0,0,2
2,4345,17.8336,21,-1.9167,646.3894,0.0135,0.016,0,0,1,0,0,0,0,2
2,4346,17.8136,21,-1.9333,644.7564,0.0135,0.016,0,0,1,0,0,0,0,2
2,4347,17.7946,21,-1.95,643.1369,0.0135,0.016,0,0,1,0,0,0,0,2
2,4348,17.7764,21,-1.9667,641.531,0.0135,0.016,0,0,1,0,0,0,0,2
2,4349,17.7587,21,-1.9833,639.9383,0.0135,0.016,0,0,1,0,0,0,0,2
2,4350,17.7415,21,-2,638.359,0.0135,0.016,0,0,1,0,0,0,0,2
2,4351,17.7246,21,-2.0167,636.7927,0.0135,0.016,0,0,1,0,0,0,0,2
2,4352,17.708,21,-2.0333,635.2395,0.0135,0.016,0,0,1,0,0,0,0,2
2,4353,17.6915,21,-2.05,633.6992,0.0135,0.016,0,0,1,0,0,0,0,2
2,4354,17.6752,21,-2.0667,632.1717,0.0135,0.016,0,0,1,0,0,0,0,2
2,4355,17.659,21,-2.0833,630.6569,0.0135,0.016,0,0,1,0,0,0,0,2
2,4356,17.6429,21,-2.1,629.1547,0.0135,0.016,0,0,1,0,0,0,0,2
2,4357,17.6269,21,-2.1,627.665,0.0135,0.016,0,0,1,0,0,0,0,2
2,4358,17.6109,21,-2.1,626.1876,0.0135,0.016,0,0,1,0,0,0,0,2
2,4359,17.597,21,-2.1,624.7226,0.0135,0.016,0,0,1,0,0,0,0,2
2,4360,17.5847,21,-2.1,623.2697,0.0135,0.016,0,0,1,0,0,0,0,2
2,4361,17.5736,21,-2.1,621.829,0.0135,0.016,0,0,1,0,0,0,0,2
2,4362,17.5636,21,-2.1,620.4002,0.0135,0.016,0,0,1,0,0,0,0,2
2,4363,17.5543,21,-2.1,618.9832,0.0135,0.016,0,0,1,0,0,0,0,2
2,4364,17.5456,21,-2.1,617.5781,0.0135,0.016,0,0,1,0,0,0,0,2
2,4365,17.5374,21,-2.1,616.1846,0.0135,0.016,0,0,1,0,0,0,0,2
2,4366,17.5296,21,-2.1,614.8028,0.0135,0.016,0,0,1,0,0,0,0,2
2,4367,17.522,21,-2.1,613.4324,0.0135,0.016,0,0,1,0,0,0,0,2
2,4368,17.5147,21,-2.1,612.0734,0.0135,0.016,0,0,1,0,0,0,0,2
2,4369,17.5075,21,-2.1083,610.7258,0.0135,0.016,0,0,1,0,0,0,0,2
2,4370,17.5005,21,-2.1167,609.3893,0.0135,0.016,0,0,1,0,0,0,0,2
2,4371,17.5348,21,-2.125,608.0639,0.0135,0.016,0,0,1,0,0,0,0,2
2,4372,17.6014,21,-2.1333,606.7496,0.0135,0.016,0,0,1,0,0,0,0,2
2,4373,17.6932,21,-2.1417,605.4462,0.0135,0.016,0,0,1,0,0,0,0,2
2,4374,17.8048,21,-2.15,604.1536,0.0135,0.016,0,0,1,0,0,0,0,2
2,4375,17.932,21,-2.1583,602.8718,0.0135,0.016,0,0,1,0,0,0,0,2
2,4376,18.0714,21,-2.1667,601.6006,0.0135,0.016,0,0,1,0,0,0,0,2
2,4377,18.2204,21,-2.175,600.34,0.0135,0.016,0,0,1,0,0,0,0,2
2,4378,18.3769,21,-2.1833,599.0899,0.0135,0.016,0,0,1,0,0,0,0,2
2,4379,18.5396,21,-2.1917,597.8502,0.0135,0.016,0,0,1,0,0,0,0,2
2,4380,18.707,21,-2.2,596.6208,0.0135,0.016,0,0,1,0,0,0,0,2
2,4381,18.8783,21,-2.1333,595.4016,0.0135,0.016,0,0,1,0,0,0,0,2
2,4382,19.0527,21,-2.0667,594.1925,0.0135,0.016,0,0,1,0,0,0,0,2
2,4383,19.1573,21,-2,592.9935,0.0135,0.016,0,0,1,0,0,0,0,2
2,4384,19.2074,21,-1.9333,591.8045,0.0135,0.016,0,0,1,0,0,0,0,2
2,4385,19.2149,21,-1.8667,590.6254,0.0135,0.016,0,0,1,0,0,0,0,2
2,4386,19.1893,21,-1.8,589.4561,0.0135,0.016,0,0,1,0,0,0,0,2
2,4387,19.1377,21,-1.7333,588.2964,0.0135,0.016,0,0,1,0,0,0,0,2
2,4388,19.0658,21,-1.6667,587.1465,0.0135,1599.984,1,0.063,1,0,0,0,0,1
2,4389,18.978,21,-1.6,572.4508,84.9247,1599.984,1,0.063,1,0,0,0,0,1
2,4390,19.5848,21,-1.5333,559.3299,84.9247,1599.984,1,0.063,1,0,0,0,0,1
2,4391,20.0088,21,-1.4667,547.6149,84.9247,1599.984,1,0.063,1,0,0,0,0,1
2,4392,20.3148,21,-1.4,537.1552,84.9247,1599.984,1,0.063,1,1,0,0,0,1
2,4393,20.5271,21,-1.3917,539.595,84.9247,1599.984,1,0.063,1,1,0,0,0,1
2,4394,20.6656,21,-1.3833,541.7735,84.9247,439.7861,0.2749,0.063,1,1,0,0,0,1
2,4395,20.7795,21,-1.375,543.7184,84.9247,0.016,0,0,1,1,0,0,0,1
2,4396,20.3621,21,-1.3667,555.3453,0.0135,235.3348,0.1471,0.063,1,1,0,0,0,1
2,4397,19.8487,21,-1.3583,555.8361,84.9247,1129.7142,0.7061,0.063,1,1,0,0,0,1
2,4398,19.568,21,-1.35,556.2742,84.9247,1599.984,1,0.063,1,1,0,0,0,1
2,4399,19.7386,21,-1.3417,556.6654,84.9247,1599.984,1,0.063,1,1,0,0,0,1
2,4400,20.0692,21,-1.3333,557.0147,84.9247,1599.984,1,0.063,1,1,0,0,0,1
2,4401,20.3263,21,-1.325,557.3265,84.9247,1599.984,1,0.063,1,1,0,0,0,1
2,4402,20.5327,21,-1.3167,557.605,84.9247,1599.984,1,0.063,1,1,0,0,0,1
2,4403,20.699,21,-1.3083,557.8536,84.9247,0.016,0,0,1,1,0,0,0,1
2,4404,20.8337,21,-1.3,569.3629,0.0135,0.016,0,0,1,3,0,0,0,1
2,4405,20.2429,21,-1.2917,605.589,0.0135,0.016,0,0,1,3,0,0,0,1
2,4406,19.7841,21,-1.2833,641.5138,0.0135,0.016,0,0,1,3,0,0,0,1
2,4407,19.4263,21,-1.275,677.1399,0.0135,1599.984,1,0.063,1,3,0,0,0,1
2,4408,19.1472,21,-1.2667,688.1375,84.9247,1599.984,1,0.063,1,3,0,0,0,1
2,4409,19.6417,21,-1.2583,697.9567,84.9247,1599.984,1,0.063,1,3,0,0,0,1
2,4410,20.0076,21,-1.25,706.7238,84.9247,1599.984,1,0.063,1,3,0,0,0,1
2,4411,20.2984,21,-1.2417,714.5515,84.9247,1599.984,1,0.063,1,3,0,0,0,1
2,4412,20.5293,21,-1.2333,721.5404,84.9247,1502.5385,0.9391,0.063,1,3,0,0,0,1
2,4413,20.7131,21,-1.225,727.7804,84.9247,0.016,0,0,1,3,0,0,0,1
2,4414,20.817,21,-1.2167,762.6891,0.0135,0.016,0,0,1,3,0,0,0,1
2,4415,20.2435,21,-1.2083,797.3076,0.0135,0.016,0,0,1,3,0,0,0,1
2,4416,19.7965,13,-1.2,831.6382,0.0135,967.345,0.6046,0.063,1,1,0,0,0,1
2,4417,19.4479,13,-1.2167,802.5234,84.9247,1599.984,1,0.063,1,1,0,0,0,1
2,4418,19.6116,13,-1.2333,776.5283,84.9247,0.016,0,0,1,1,0,0,0,2
2,4419,20.0069,13,-1.25,786.2193,0.0135,0.016,0,0,1,1,0,0,0,2
2,4420,19.6194,13,-1.2667,795.8298,0.0135,0.016,0,0,1,1,0,0,0,2
2,4421,19.3195,13,-1.2833,805.3603,0.0135,0.016,0,0,1,1,0,0,0,2
2,4422,19.0878,13,-1.3,814.8116,0.0135,0.016,0,0,1,1,0,0,0,2
2,4423,18.9091,13,-1.3167,824.1843,0.0135,0.016,0,0,1,1,0,0,0,2
2,4424,18.7719,13,-1.3333,833.479,0.0135,0.016,0,0,1,1,0,0,0,2
2,4425,18.6669,13,-1.35,842.6965,0.0135,0.016,0,0,1,1,0,0,0,2
2,4426,18.5869,13,-1.3667,851.8373,0.0135,0.016,0,0,1,1,0,0,0,1
2,4427,18.5266,13,-1.3833,860.9022,0.0135,0.016,0,0,1,1,0,0,0,1
2,4428,18.4815,13,-1.4,869.8916,0.0135,0.016,0,0,1,0,0,0,0,2
2,4429,18.4482,13,-1.4167,866.4001,0.0135,0.016,0,0,1,0,0,0,0,2
2,4430,18.4243,13,-1.4333,862.9376,0.0135,0.016,0,0,1,0,0,0,0,2
2,4431,18.3893,13,-1.45,859.504,0.0135,0.016,0,0,1,0,0,0,0,2
2,4432,18.3456,13,-1.4667,856.0988,0.0135,0.016,0,0,1,0,0,0,0,2
2,4433,18.2951,13,-1.4833,852.722,0.0135,0.016,0,0,1,0,0,0,0,2
2,4434,18.2393,13,-1.5,849.3733,0.0135,0.016,0,0,1,0,0,0,0,2
2,4435,18.1794,13,-1.5167,846.0524,0.0135,0.016,0,0,1,0,0,0,0,2
2,4436,18.1161,13,-1.5333,842.7591,0.0135,0.016,0,0,1,0,0,0,0,2
2,4437,18.0503,13,-1.55,839.4933,0.0135,0.016,0,0,1,0,0,0,0,2
2,4438,17.9824,13,-1.5667,836.2545,0.0135,0.016,0,0,1,0,0,0,0,2
2,4439,17.9128,13,-1.5833,833.0427,0.0135,0.016,0,0,1,0,0,0,0,2
